"Marca temporal","¿Cuál es tu estatura?","¿Cuál es tu peso aproximado?","¿Qué nota final crees que obtendrás en el examen?"
"2019/11/19 3:50:55 p. m. GMT-3","1.76","70","3"
"2019/11/19 3:50:57 p. m. GMT-3","1.71","70","5"
"2019/11/19 3:50:58 p. m. GMT-3","1.71","65","4.7"
"2019/11/19 3:51:02 p. m. GMT-3","1.63","48","5.4"
"2019/11/19 3:51:05 p. m. GMT-3","1.87","84","5"
"2019/11/19 3:51:06 p. m. GMT-3","1.79","95","5.5"
"2019/11/19 3:51:08 p. m. GMT-3","1.6","60","5.5"
"2019/11/19 3:51:10 p. m. GMT-3","1.8","71","4.2"
"2019/11/19 3:51:15 p. m. GMT-3","1.80","57","5"
"2019/11/19 3:51:28 p. m. GMT-3","1.70","54","7"
"2019/11/19 3:51:31 p. m. GMT-3","1.70","58","5.5"
"2019/11/19 3:51:37 p. m. GMT-3","1.75","85","6.1"
"2019/11/19 3:51:58 p. m. GMT-3","1.81","81","6.0"
"2019/11/19 3:52:07 p. m. GMT-3","1.83","74","4.5"
"2019/11/19 3:52:12 p. m. GMT-3","1.7","70","4.0"
"2019/11/19 3:52:39 p. m. GMT-3","1.79","74","4.8"
"2019/11/19 3:52:53 p. m. GMT-3","1.69","81","3"
"2019/11/19 3:53:51 p. m. GMT-3","1.65","62","5.5"
